OvertimePay,OtherPay,TotalPayBenefits,Status_Binary
0.0,250.0,218208.54,0
0.0,250.0,218140.31,0
0.0,630.0,218050.11,1
12095.86,23724.12,218013.01,0
14166.79,27536.28,217863.71,0
9446.31,26592.55,217609.41,0
8249.73,17137.53,217382.6,0
8331.47,8690.18,217353.21,1
12595.23,7579.49,217236.0,1
4828.77,20676.91,217049.77,0
3824.86,23124.99,216727.72,0
7293.87,17813.7,216289.68,0
0.0,20453.61,216214.45,0
9401.64,29832.07,216210.54,0
0.0,6154.8,215837.17,0
6310.79,17023.36,215310.62,0
9892.5,28984.14,215303.42,0
9194.77,33186.79,215251.4,0
9357.12,19342.99,215234.74,0
7656.06,20332.9,215168.12,0
9853.67,30033.47,214980.31,0
3888.28,6441.29,214780.04,0
7311.68,17351.06,214665.54,0
9077.37,14007.83,214619.97,0
0.0,250.0,214306.22,0
7062.09,19270.98,214034.39,0
4570.03,16963.68,213838.87,0
14984.58,27028.43,213626.11,1
6314.14,29279.46,213505.14,0
8299.17,13224.58,213318.5,0
8297.92,24645.07,212979.85,0
0.0,327.9,212756.36,0
0.0,26046.94,212334.24,1
7465.98,19522.99,212222.36,0
8164.24,16768.76,211788.1,0
10133.13,12700.74,211513.01,0
11979.73,20337.68,211309.85,0
4271.07,8658.63,211196.97,0
0.0,1318.3,211144.59,0
7389.66,21087.02,210891.27,0
0.0,250.0,210585.42,0
20204.52,14809.51,210361.48,1
7288.38,30973.21,210238.06,0
8249.73,18409.86,210142.95,0
9144.94,12473.26,209818.88,0
7349.13,22456.76,209624.76,0
9740.82,21934.19,209609.29,0
0.0,250.0,209508.0,0
0.0,2454.64,208932.31,1
8328.25,29901.24,208721.39,0
5459.21,26144.45,208713.26,0
14939.93,20011.72,208589.46,0
0.0,1076.0,208550.5,0
0.0,4628.02,208047.46,0
6336.97,10537.89,207980.79,0
7236.23,14649.57,207877.65,0
4547.0,20778.96,207754.24,0
4743.22,15988.72,207543.95,0
6944.94,19584.78,207306.63,0
7908.58,21879.12,207262.77,0
7966.75,26058.35,207051.15,0
6590.08,9694.93,207040.73,0
0.0,1300.0,206775.99,1
0.0,3367.5,206362.62,0
2771.95,6230.14,206282.48,1
1747.63,20161.67,206062.3,0
17528.7,3982.83,206029.69,1
0.0,850.0,205907.21,1
0.0,0.0,205426.57,0
93.07,4785.69,205338.79,1
0.0,250.0,204337.93,1
5889.58,24697.67,203990.7,1
5458.22,12797.21,203951.36,0
4308.5,18399.32,203929.82,0
12993.27,13880.06,203582.03,0
0.0,250.0,203572.21,1
0.0,910.0,203535.65,0
0.0,12253.14,203453.67,0
4772.77,22862.17,203401.7,0
7220.49,13137.67,203360.43,0
8817.09,19318.84,203038.84,0
410.0,3315.63,203006.21,0
4498.44,19764.81,202926.18,0
10382.65,5429.15,202907.4,0
1636.48,24072.7,202859.3,0
0.0,948.78,202844.04,1
6720.13,8253.04,202700.27,0
10949.79,20445.51,202691.57,1
7845.64,19851.86,202613.62,0
10312.2,12909.77,202446.19,0
10763.03,22262.54,202422.12,1
6571.04,8764.68,202331.19,0
0.0,33540.9,202241.65,1
0.0,52769.48,201880.04,1
4164.15,409.06,201874.43,1
6353.53,16790.99,201721.8,0
10629.41,20259.92,201643.09,1
7319.55,5472.42,201279.77,0
7020.73,15550.5,201201.3,0
6565.28,5559.58,201197.14,0
5862.43,5374.52,200827.73,0
0.0,250.0,200582.87,1
814.95,9240.56,200554.11,0
7797.05,22090.68,200404.48,1
7607.78,21034.45,200395.0,0
8057.64,9583.15,200394.54,0
1154.05,10798.61,200190.86,0
0.0,8896.1,200088.89,0
6878.41,20881.63,199780.52,1
9029.25,4388.46,199718.39,0
0.0,9168.45,199648.4,0
10929.73,27675.01,199630.04,0
647.53,30482.14,199391.37,1
8979.4,3728.06,199359.03,0
0.0,304.9,199358.98,0
8238.0,2145.18,199345.03,0
7359.45,2536.96,199252.69,0
0.0,1035.79,199220.35,1
6698.24,4302.92,199210.71,0
9388.18,22675.0,199033.49,0
0.0,12742.59,198913.41,0
4220.11,10274.93,198808.87,0
6464.46,20506.79,198684.14,1
722.1,17282.59,198420.38,0
0.0,8095.06,198325.52,0
0.0,8097.6,198322.89,0
0.0,49497.9,198289.08,1
5120.13,12095.79,198104.93,0
9216.83,11495.86,198103.91,0
5425.65,8018.9,197825.59,0
431.45,7220.31,197701.66,0
9086.77,11908.07,197563.55,0
0.0,14685.01,197394.56,1
13326.79,14346.88,197255.62,1
0.0,7128.19,197133.05,0
10063.0,11439.24,197102.15,0
0.0,8835.85,197060.59,0
0.0,1010.63,196969.96,1
8687.93,14817.72,196940.12,0
10992.12,25023.32,196913.24,1
4333.53,12309.14,196829.48,0
9389.27,23121.92,196784.81,0
8283.97,19605.13,196617.54,0
9989.69,18027.63,196541.84,1
10349.0,12692.07,196449.01,1
0.0,10688.61,196369.41,0
0.0,250.0,196355.18,1
12234.81,17279.97,196324.69,0
4256.23,5247.92,196266.52,0
3615.16,16429.52,196227.21,0
5480.19,19466.07,196017.55,1
0.0,6078.01,195836.5,0
0.0,6078.0,195836.25,0
0.0,248.42,195822.3,0
0.0,12548.82,195615.65,0
7446.75,2389.06,195575.33,0
2952.93,8587.73,195387.27,0
3590.52,5928.21,195271.49,0
5691.54,20109.31,195158.88,1
3379.5,2772.21,195156.94,0
9045.7,18912.07,195145.65,1
4941.1,14693.77,194967.93,0
7220.94,6926.78,194890.16,0
0.0,6128.02,194782.67,0
7809.35,1592.95,194639.94,0
0.0,250.0,194595.26,0
7342.32,9187.68,194424.33,0
0.0,5958.62,194260.17,0
8057.64,9415.11,194193.38,0
4213.49,1861.81,194132.2,0
11250.84,14090.12,194048.22,0
10430.38,17515.04,194039.68,1
3447.24,14362.15,193815.21,0
7312.77,19226.46,193634.13,1
14653.78,20064.16,193565.71,1
2397.45,34239.26,193565.59,1
11884.49,24505.41,193545.07,1
0.0,5457.99,193476.96,0
8911.74,4664.5,193384.39,0
0.0,250.0,193304.87,1
5270.72,19537.99,193277.86,0
0.0,3843.67,193084.82,0
6116.88,6758.66,193052.86,0
8205.95,12832.55,193039.05,0
11751.54,20502.75,192917.37,1
4147.3,8424.95,192808.16,0
0.0,4841.27,192804.8,0
0.0,10218.43,192667.74,0
6844.41,21656.75,192656.08,1
9140.65,10425.03,192619.18,0
6414.62,20280.92,192563.51,0
2650.04,2096.59,192469.61,0
4933.67,12974.58,192390.09,0
855.26,11810.05,192194.78,0
4123.35,5144.99,192158.6,0
0.0,8940.08,191964.52,0
14581.89,12214.37,191956.34,0
10964.65,21908.78,191918.45,0
0.0,2862.56,191868.99,0
6351.3,2728.96,191706.13,0
0.0,0.0,191691.45,0
9003.6,21244.87,191544.6,1
0.0,2583.53,191516.9,0
7816.11,19327.41,191382.95,1
7897.74,20483.15,191215.75,1
1793.38,26293.7,191201.58,1
0.0,6878.38,191171.08,0
0.0,13092.21,191138.75,0
2437.35,3032.0,191130.34,0
0.0,2205.34,191060.48,0
11913.72,23041.04,191038.65,1
11594.93,10038.16,190939.89,1
372.3,8273.94,190908.5,0
6778.35,8158.47,190442.4,0
1001.99,11855.23,190383.55,0
2771.45,25241.82,190370.36,1
0.0,2279.55,190307.39,0
7933.2,2620.08,190243.25,0
0.0,1525.0,190219.27,0
0.0,2395.98,190188.11,0
5819.77,17387.71,190067.39,1
3188.7,2958.26,189751.94,0
5038.11,11786.48,189718.35,0
0.0,11995.27,189665.46,0
0.0,8424.52,189595.51,0
0.0,8758.84,189564.95,0
814.95,250.0,189487.63,0
0.0,921.76,189460.69,1
814.95,250.0,189450.61,0
6354.3,9067.18,189380.98,0
748.76,4308.54,189272.21,0
4183.11,11935.34,189264.05,0
5366.37,18542.49,189247.47,0
2637.21,11443.99,189199.4,1
8586.08,4077.82,189113.9,0
0.0,8914.57,189056.2,0
0.0,8674.53,188762.9,0
0.0,1275.0,188680.25,0
0.0,3542.32,188670.18,0
0.0,250.0,188646.17,0
0.0,7317.73,188638.32,0
0.0,4878.04,188602.11,0
6722.48,24016.44,188580.23,1
0.0,8467.17,188507.44,0
0.0,4878.0,188450.86,0
0.0,0.0,188396.17,0
0.0,9241.8,188261.8,0
10434.8,6493.6,188222.17,0
11098.0,22059.23,188187.18,1
9003.6,19726.82,188026.67,1
9811.49,17565.4,187999.17,1
6181.5,2895.46,187813.67,0
5634.29,7790.04,187753.32,0
0.0,8451.34,187700.26,0
4375.97,11986.72,187670.93,0
6885.07,18419.42,187603.84,1
0.0,7711.77,187573.18,0
0.0,725.0,187553.08,0
3879.99,1407.91,187488.06,1
5389.08,8460.76,187424.96,0
7426.89,13427.37,187308.07,0
4768.29,6449.09,187256.12,0
12388.29,22234.18,187191.27,1
6384.86,22216.5,187132.89,1
11638.71,19853.3,187132.52,1
14003.6,20790.33,187006.16,1
2635.76,19853.59,186960.23,1
2497.04,4754.11,186941.44,0
4170.75,342.32,186904.24,0
6988.83,19162.45,186831.28,1
0.0,7089.99,186807.41,0
8316.81,21993.69,186746.03,1
0.0,5728.2,186699.31,0
0.0,250.0,186683.55,1
0.0,6874.59,186539.39,0
0.0,4964.59,186471.2,0
0.0,6798.64,186445.92,0
1459.13,20512.51,186073.9,1
13211.22,22218.31,185966.51,1
7459.95,4374.07,185931.15,0
3201.38,7819.09,185925.8,0
766.95,7451.78,185713.31,0
6988.68,6311.48,185673.47,0
0.0,277.17,185529.98,0
0.0,5152.71,185487.56,1
125.73,22304.14,185462.04,1
0.0,8840.03,185426.56,0
9741.42,17003.87,185363.51,1
6673.67,23834.14,185295.04,1
0.0,1550.0,185103.22,0
4119.15,18253.34,185062.53,1
0.0,6064.29,185029.89,0
6816.36,18415.0,184997.29,1
2991.98,15603.76,184929.79,1
5004.74,7089.15,184908.22,0
20529.88,7498.69,184869.7,1
6259.38,2236.49,184815.73,0
12225.69,21098.78,184807.92,1
4038.7,17365.59,184800.91,1
5397.48,11598.76,184785.77,0
8846.47,15583.29,184774.4,1
5741.52,8346.29,184763.29,0
7094.74,23642.64,184730.76,1
10886.11,21136.33,184706.78,1
8262.61,20985.43,184680.76,1
6348.13,7691.98,184618.4,0
0.0,5261.48,184550.31,0
9125.14,16730.39,184506.67,1
3722.42,24081.73,184483.65,1
6407.34,2715.09,184472.52,0
2695.42,3887.67,184334.12,0
0.0,3942.27,184277.94,1
5362.69,11179.95,184238.71,0
6402.84,6093.26,184208.79,1
6732.18,21021.16,184155.94,1
5453.17,3366.21,184133.16,0
6717.94,22072.45,184115.54,1
9828.97,20613.49,183972.67,1
0.0,7156.46,183942.65,0
5844.32,12064.31,183866.72,1
5689.53,3484.63,183858.94,1
4753.99,7326.28,183816.27,1
0.0,5177.48,183806.47,0
0.0,485.76,183790.63,0
3283.59,10137.93,183730.48,0
5151.8,4375.87,183681.52,0
10018.02,17920.03,183633.93,1
11851.4,5094.07,183616.88,1
0.0,250.0,183499.64,0
0.0,250.0,183499.62,0
0.0,250.0,183499.62,0
1990.49,250.0,183423.16,0
0.0,250.0,183380.2,0
12346.44,19144.49,183253.2,1
5744.83,21253.33,183244.7,1
8931.68,18188.91,183223.83,1
0.0,4171.89,183014.89,0
5245.28,5554.17,183013.62,0
0.0,1475.0,182926.83,1
6958.32,605.93,182826.15,0
5412.66,8858.29,182798.19,0
0.0,6703.23,182736.66,0
5578.05,4202.0,182696.38,0
6765.64,17669.97,182658.68,1
0.0,1691.46,182655.72,0
6534.4,22370.39,182603.68,1
7407.17,5411.04,182529.43,0
6698.49,18158.9,182522.3,1
0.0,2466.29,182462.4,0
10716.63,18788.94,182430.33,1
6774.3,3033.45,182291.32,0
9481.43,20094.71,182291.22,1
5558.98,8633.88,182273.41,1
0.0,250.0,182157.12,1
2502.82,11634.33,182155.97,0
6604.08,12238.04,182085.76,1
3624.69,6056.31,181883.39,0
2606.76,11244.72,181821.22,1
5791.25,17315.74,181800.07,1
3615.06,6988.48,181542.74,0
5733.02,18307.86,181494.65,1
7693.05,1618.73,181332.57,0
7672.03,5484.88,181319.71,1
0.0,9069.72,181272.35,0
7251.78,3106.15,181191.34,0
629.67,3874.66,180953.28,0
5997.64,20206.89,180945.98,1
5135.05,2959.66,180938.72,1
1443.0,8280.15,180931.16,0
21830.84,5475.45,180897.94,1
6086.16,12390.01,180876.49,1
191.74,2105.66,180847.53,0
4074.33,15359.82,180734.45,0
7768.76,7910.08,180721.25,0
0.0,3170.9,180684.26,0
7484.96,17251.38,180677.11,1
2322.0,16284.15,180636.51,1
3570.51,5478.18,180627.56,1
5637.86,19882.77,180548.08,1
9409.59,18686.56,180529.58,1
9301.65,9755.09,180460.33,1
5160.72,10098.82,180283.99,0
11261.46,6679.62,180181.24,1
0.0,283.09,180065.01,1
2770.76,28414.96,179985.61,0
9216.54,9598.18,179976.39,1
10185.32,17032.21,179937.53,1
8172.42,17236.36,179926.37,1
0.0,11723.27,179908.56,0
2058.83,250.0,179863.66,0
0.0,2253.64,179855.0,1
0.0,1425.0,179817.57,0
8796.81,18219.43,179794.58,1
47.99,302.73,179734.42,0
0.0,1350.0,179723.44,0
0.0,5379.71,179719.63,0
7818.59,6864.9,179719.18,0
8977.3,17507.74,179704.74,1
12710.01,17346.18,179696.22,1
2064.45,491.64,179603.34,0
11267.77,9852.88,179575.16,1
14074.96,18356.5,179569.98,1
7018.68,16357.14,179560.27,1
649.33,4548.49,179559.42,0
5782.51,5062.74,179434.77,1
5149.2,5998.54,179415.85,1
10885.32,18363.8,179398.72,1
6774.3,3925.53,179336.53,0
5881.1,5908.73,179334.68,1
124.45,18939.44,179331.68,1
8485.47,15405.38,179237.62,1
2454.3,1462.19,179221.5,0
26418.52,5455.22,179203.29,1
7387.42,12768.21,179168.22,1
13409.87,3740.32,179140.28,1
766.95,250.0,179134.6,0
766.95,250.0,179134.6,0
0.0,5489.87,179074.56,0
0.0,1104.94,178994.53,0
7238.43,3958.44,178900.62,0
9966.47,12849.59,178869.4,1
5289.08,8226.7,178813.58,1
6428.67,5643.16,178718.81,1
2934.32,6073.09,178714.24,1
6490.58,21389.96,178659.71,1
7557.92,19840.12,178643.91,1
0.0,250.0,178638.36,0
7916.64,19487.15,178571.96,1
0.0,250.0,178492.44,0
0.0,345.87,178491.04,0
0.0,4017.93,178490.16,0
0.0,250.0,178367.69,0
0.0,250.0,178367.69,0
0.0,250.0,178367.67,0
0.0,250.0,178367.65,0
0.0,250.0,178367.65,0
7349.11,18076.35,178340.2,1
0.0,2502.65,178309.92,1
0.0,5442.9,178305.32,0
15688.33,4892.98,178252.5,1
8286.44,19587.16,178223.1,1
0.0,6819.89,178179.1,0
766.95,250.0,178171.36,0
7326.68,17817.92,178136.91,1
10375.77,19058.65,178097.52,1
11439.25,17287.55,178062.88,1
3760.09,6469.67,177980.28,0
7112.87,10426.05,177879.85,0
14537.25,16197.76,177862.84,1
2011.5,8285.2,177861.89,0
204.0,58432.92,177802.91,1
0.0,7870.16,177774.11,0
9758.14,6918.71,177759.12,1
766.95,250.0,177680.22,0
13009.39,8673.61,177401.11,1
10562.14,9857.76,177337.62,1
12007.19,17140.15,177319.7,1
5115.07,5327.81,177286.9,1
5374.92,17247.1,177235.37,1
0.0,2612.66,177059.21,0
23582.57,6276.88,177007.59,1
6021.0,28593.36,176984.91,1
0.0,6194.03,176761.66,0
0.0,2882.22,176653.12,0
2110.86,20133.73,176649.33,1
10921.02,16957.63,176602.8,1
9041.35,11122.95,176584.72,1
0.0,250.0,176584.0,0
4002.52,22868.88,176524.88,1
4557.3,2738.92,176439.14,0
5423.15,18535.98,176392.95,1
6567.24,18437.48,176281.81,1
0.0,5384.54,176269.5,0
11185.99,23867.72,176253.92,1
0.0,250.0,176199.07,0
9111.45,6150.96,176195.91,1
3875.72,18215.57,176182.33,1
10347.14,18514.94,176122.94,1
6609.81,10799.56,176090.04,1
5372.1,20872.88,176038.56,0
6764.37,17252.9,176022.02,1
0.0,250.0,175840.44,0
3071.43,5762.33,175840.3,0
6025.95,9979.92,175827.34,1
0.0,6194.43,175804.88,0
4456.52,4980.46,175775.02,1
6905.68,8720.42,175760.91,0
10629.19,16044.55,175749.9,1
0.0,2270.46,175689.61,0
0.0,1500.0,175554.31,0
805.0,6873.95,175482.59,0
418.33,2021.66,175472.3,0
11115.39,5658.65,175427.75,1
7592.79,4999.12,175391.52,0
0.0,250.0,175367.64,0
6160.81,18496.2,175348.26,1
12672.05,17638.11,175337.15,1
7308.43,5261.72,175335.92,1
6926.47,19879.42,175300.04,1
2628.95,17088.9,175282.96,1
12685.37,9692.86,175218.37,1
11250.63,11765.36,175213.52,1
3898.13,4081.81,175161.11,1
2539.05,8725.72,175152.75,0
3748.2,2386.68,175115.74,0
7180.03,14576.38,175071.55,1
71089.29,6044.75,175055.61,0
0.0,2468.8,174954.99,0
3781.8,1457.73,174910.02,0
766.95,250.0,174893.89,0
6518.57,14396.19,174886.87,1
1661.63,8148.87,174830.62,1
0.0,5133.14,174689.33,0
6460.5,7530.5,174594.16,0
3381.71,3546.04,174542.46,1
0.0,1650.0,174492.66,1
0.0,250.0,174468.5,0
0.0,1361.64,174454.78,0
6491.89,17606.23,174333.18,1
6182.37,17373.47,174306.9,1
5405.26,23336.71,174294.46,1
743.7,359.41,174269.1,0
5482.8,17877.86,174231.69,1
12778.68,16876.71,174220.2,1
5312.87,17397.79,174198.18,1
743.7,250.0,174133.78,0
5046.92,5215.7,174062.88,1
0.0,250.0,174006.23,0
692.41,2153.93,173833.51,1
0.0,542.1,173750.3,0
6764.37,18494.43,173652.48,1
0.0,250.0,173648.46,0
12017.25,5292.56,173620.88,1
1336.48,8758.8,173527.7,0
0.0,3022.02,173471.38,0
7838.82,7909.81,173422.74,1
0.0,250.0,173395.7,0
0.0,250.0,173390.09,0
9501.73,16456.56,173372.22,1
1324.58,19744.52,173370.93,1
0.0,710.16,173353.03,0
13175.94,4512.62,173334.41,1
5320.48,18052.82,173303.83,1
2546.15,10532.65,173294.68,1
9138.71,1080.49,173216.53,0
9958.63,18801.36,173120.36,1
3444.22,5105.7,173117.56,1
2628.95,17282.21,173020.38,1
7543.61,16131.69,172887.06,1
279.58,2597.96,172880.02,0
282.22,1247.22,172783.94,0
5506.27,12359.25,172778.89,0
6716.25,1874.38,172772.31,0
8207.16,9068.29,172709.64,1
7043.42,11602.48,172691.5,1
0.0,16930.6,172646.17,1
4612.67,12256.58,172589.7,0
0.0,7455.14,172507.54,0
0.0,1527.17,172449.08,1
9011.4,17007.68,172371.04,1
6165.02,29618.38,172252.18,1
4353.34,15843.15,172204.7,0
8473.4,15640.58,172159.29,1
335.93,10065.29,172053.34,1
10176.9,17013.03,172038.79,1
0.0,8264.0,172034.68,0
6920.89,17834.31,171934.14,1
0.0,5577.4,171895.19,1
5952.46,10671.98,171831.66,1
715.78,1907.8,171822.93,0
77.25,764.33,171755.53,0
5317.2,16857.7,171755.37,1
1189.13,18140.86,171711.54,1
7851.43,7704.23,171696.76,1
0.0,0.0,171659.6,0
6279.3,3090.29,171622.85,0
6579.5,2662.73,171619.44,0
11806.54,8540.74,171542.39,1
10956.3,7550.16,171534.78,1
0.0,1776.35,171460.78,0
3016.69,1573.03,171396.26,0
1457.4,419.53,171310.16,0
0.0,2533.29,171295.2,0
1307.48,10199.89,171269.78,1
1053.23,2574.88,171217.67,0
9888.55,10947.66,171186.03,1
2663.99,14743.14,171175.86,1
3093.02,17605.97,171132.49,1
1482.29,17519.45,171097.42,1
854.85,250.0,170585.87,1
5461.15,12727.25,170437.05,1
7217.59,8557.25,170382.12,1
7280.66,7845.14,170359.9,1
0.0,250.0,170331.88,0
11778.63,22558.0,170304.28,1
7634.57,7613.42,170301.68,1
6180.28,14742.98,170282.82,1
7628.62,12980.29,170234.69,1
11018.44,9118.08,170195.31,1
3788.77,16342.27,170143.53,1
4938.06,15474.97,170142.1,1
6583.2,1595.47,170101.71,0
7802.45,5203.95,169992.65,1
0.0,250.0,169975.64,0
8642.43,7119.0,169956.08,1
0.0,250.0,169936.49,1
477.05,7688.31,169931.7,1
7210.95,17578.45,169914.73,1
0.0,45618.19,169895.09,1
1449.32,9840.6,169865.74,1
1307.13,5550.22,169821.25,0
0.0,2127.95,169782.35,1
9465.04,6849.22,169781.44,1
0.0,10574.27,169688.69,0
4993.92,10417.46,169684.18,1
541.12,975.59,169674.98,0
11167.5,16736.59,169562.85,1
8684.2,7184.64,169406.72,1
6982.47,5524.74,169370.12,1
0.0,3568.96,169347.88,0
9512.68,4696.36,169256.1,1
32424.87,2293.68,169127.14,1
7331.43,5050.99,169125.43,1
6689.68,20795.77,169116.44,1
11279.4,22342.15,169090.77,1
6262.75,18329.99,169042.83,1
8974.34,5066.34,169038.62,1
10040.96,4659.84,168951.26,1
9912.48,7338.76,168882.71,1
5342.37,15482.92,168879.04,1
13688.71,6044.76,168796.9,1
8067.42,15558.45,168693.63,1
3499.62,5179.21,168566.93,1
10970.38,6405.62,168522.48,1
4916.53,12079.85,168460.84,1
1875.04,8309.64,168423.03,1
11993.96,8899.91,168409.58,1
1987.71,8849.57,168377.93,1
58061.97,6045.7,168350.97,0
0.0,1909.93,168348.11,0
5854.91,5556.69,168314.99,1
8872.08,5455.4,168289.62,1
6872.5,5290.98,168278.94,1
5445.7,6270.34,168170.88,1
9646.71,4917.37,168145.38,1
0.0,1450.0,168113.89,1
5933.69,7537.89,168097.3,1
5578.76,16792.79,168018.27,1
2226.93,9177.59,168017.0,1
4840.61,5618.17,167978.87,1
0.0,6253.37,167951.54,0
12385.51,15879.79,167797.25,1
2824.0,8804.6,167782.94,1
4082.75,5538.05,167729.37,1
6340.57,17372.06,167648.25,1
8183.96,19207.1,167334.73,1
5691.86,13340.64,167328.98,1
4780.46,2407.42,167316.05,0
9182.88,18056.56,167284.07,1
13740.91,21568.54,167265.42,1
6302.8,7082.87,167246.27,0
3124.88,4798.7,167220.39,1
0.0,2526.69,167217.99,0
1665.43,4851.73,167210.25,1
0.0,6566.71,167199.37,1
0.0,250.0,167195.52,0
1137.34,2234.91,167185.53,0
5320.07,17058.05,167135.31,1
6330.34,8096.8,167105.5,1
2342.3,7666.49,167068.13,0
